,N_races,International_on_bucks,Statistic,p_value
all_international_v_uk_races,2985.0,1530.0,0.5125628140703518,0.08779310150216048
weekend_international_v_uk_races,672.0,330.0,0.49107142857142855,0.6919689725126743
1999,114.0,60.0,0.5263157894736842,0.3198846843214754
2000,92.0,49.0,0.532608695652174,0.3012061388480754
2001,119.0,66.0,0.5546218487394958,0.13562416887970227
2002,104.0,45.0,0.4326923076923077,0.9295218558938457
2003,131.0,71.0,0.5419847328244275,0.19117716067806764
2004,117.0,57.0,0.48717948717948717,0.6441483615360296
2005,109.0,58.0,0.5321100917431193,0.2828500569868173
2006,78.0,48.0,0.6153846153846154,0.026772196084251132
2007,108.0,52.0,0.48148148148148145,0.6846830827345839
2008,99.0,53.0,0.5353535353535354,0.27335674179940656
2009,112.0,63.0,0.5625,0.1095655737488923
2010,119.0,52.0,0.4369747899159664,0.9289339859624708
2011,118.0,61.0,0.5169491525423728,0.39127793070587574
2012,102.0,57.0,0.5588235294117647,0.13800694624625118
2013,92.0,45.0,0.4891304347826087,0.6226741251947507
2014,114.0,55.0,0.4824561403508772,0.6801153156785247
2015,124.0,62.0,0.5,0.5357539179375745
2016,131.0,72.0,0.549618320610687,0.147203078261757
2017,132.0,69.0,0.5227272727272727,0.3317926801691809
2018,125.0,62.0,0.496,0.5709403133682043
2019,165.0,86.0,0.5212121212121212,0.32028111710156626
2021,50.0,26.0,0.52,0.4438624136703915
2022,165.0,71.0,0.4303030303030303,0.9693108364452556
2023,182.0,100.0,0.5494505494505495,0.10375169850931883
2024,183.0,90.0,0.4918032786885246,0.6162186839760879
Tuesday,81.0,39.0,0.48148148148148145,0.6715037662068212
Wednesday,640.0,345.0,0.5390625,0.026336626041583048
Thursday,833.0,422.0,0.5066026410564226,0.364502689169866
Friday,759.0,394.0,0.5191040843214756,0.15473396795325492
Saturday,437.0,211.0,0.482837528604119,0.7779603437804894
Sunday,235.0,119.0,0.5063829787234042,0.44811712859536057
