,N_races,Berks_wins,Statistic,p_value
all_races,7556.0,4044.0,0.5352038115404976,4.945864025542424e-10
all_international_v_uk_races,2985.0,1542.0,0.5165829145728643,0.03642031333599513
weekend_international_v_uk_races,672.0,355.0,0.5282738095238095,0.07671943059079347
all_weekend_races,1548.0,863.0,0.5574935400516796,3.3439138271073713e-06
1999,284.0,163.0,0.573943661971831,0.007416341299066738
2000,285.0,156.0,0.5473684210526316,0.061691871288749825
2001,281.0,165.0,0.5871886120996441,0.002054846008074714
2002,269.0,149.0,0.5539033457249071,0.04379920261745987
2003,294.0,171.0,0.5816326530612245,0.003014480992735242
2004,268.0,124.0,0.4626865671641791,0.9002601614719866
2005,278.0,136.0,0.4892086330935252,0.662657834126356
2006,270.0,145.0,0.5370370370370371,0.12375429259514502
2007,285.0,155.0,0.543859649122807,0.07750425681473067
2008,277.0,146.0,0.5270758122743683,0.20014506547872365
2009,281.0,142.0,0.505338078291815,0.4525287688334268
2010,292.0,156.0,0.5342465753424658,0.1330766833364318
2011,283.0,146.0,0.5159010600706714,0.31723614157955626
2012,293.0,154.0,0.5255972696245734,0.20673267404917284
2013,280.0,153.0,0.5464285714285714,0.06751160375437512
2014,286.0,155.0,0.541958041958042,0.08685891237399393
2015,287.0,144.0,0.5017421602787456,0.5000000000000001
2016,304.0,162.0,0.5328947368421053,0.1379051285921145
2017,309.0,157.0,0.5080906148867314,0.4100199825258682
2018,306.0,185.0,0.6045751633986928,0.0001511075737486043
2019,330.0,190.0,0.5757575757575758,0.0034496201929804316
2021,319.0,157.0,0.49216300940438873,0.6315107440421889
2022,393.0,200.0,0.5089058524173028,0.38109681247523214
2023,394.0,221.0,0.5609137055837563,0.008890585703332192
2024,408.0,212.0,0.5196078431372549,0.22887948057874183
Tuesday,242.0,134.0,0.5537190082644629,0.0539244323626138
Wednesday,2022.0,1064.0,0.5262116716122651,0.009758853050852426
Thursday,2035.0,1054.0,0.5179361179361179,0.055225968397376965
Friday,1709.0,929.0,0.5435927442949093,0.00017040103793522195
Saturday,1027.0,577.0,0.5618305744888024,4.135949366160704e-05
Sunday,521.0,286.0,0.5489443378119002,0.014194284646079277
